target_D,series_code,x,y,count,marker_size,aggregate_sha256
0.5,0,3.5481338923357531e-07,0.0056234132519034901,125,2.2624611797498106,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357531e-07,0.011220184543019629,386,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357531e-07,0.022387211385683378,565,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357531e-07,0.044668359215096258,1943,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357531e-07,0.089125093813374398,7114,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,3.5481338923357531e-07,0.17782794100389229,1811,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.0056234132519034901,10,0.81920997883030833,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.011220184543019629,223,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.022387211385683378,621,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.044668359215096258,1250,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.089125093813374398,4185,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,7.0794578438413801e-07,0.17782794100389229,1895,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227539e-06,0.011220184543019629,27,1.1853074360871938,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227539e-06,0.022387211385683378,345,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227539e-06,0.044668359215096258,612,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227539e-06,0.089125093813374398,1114,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,1.4125375446227539e-06,0.17782794100389229,2,0.5045584412271571,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644522e-06,0.011220184543019629,1,0.42999999999999999,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644522e-06,0.022387211385683378,39,1.3740996397117116,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644522e-06,0.044668359215096258,247,2.5,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,2.8183829312644522e-06,0.089125093813374398,65,1.7012063946937388,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.5,0,5.6234132519034844e-06,0.044668359215096258,17,0.99215901261117889,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
