target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
0.25,1000,480,6079.7953608465623,29.208540590454867,104.63982531254963,0.91871287667427903,48.68638196038259,6214.5624396262401,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,490,6166.3044562353516,29.899895365421997,106.72209397267783,0.9383039040491945,49.411982383620938,6303.8647494774996,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,500,6252.2672778881524,30.592745165404832,108.79749268499592,0.95787942512436874,50.187639076903487,6392.6153951636779,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,510,6337.5537762924796,31.286345471561233,110.86847220553801,0.97744032707498718,50.951053327951058,6480.6860342966474,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,520,6422.2643235666146,31.981062236755953,112.93206587604273,0.99700802494159801,51.755048858619936,6568.1744597043544,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,530,6506.0523704565139,32.67507998087585,114.97928763453088,1.0165659098532336,52.445696299624672,6654.7233039817738,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,540,6589.1000805917674,33.36922399258183,117.01473003093808,1.0361170565116409,53.097990304778406,6740.5201516718007,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,550,6671.8250695058296,34.06548794222001,119.04849181779284,1.0556505950481652,53.771294872253883,6825.9946998608893,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,560,6754.0326902234219,34.762787024035333,121.08381227467986,1.0751829305027463,54.495573351677933,6910.954472452644,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,570,6835.853449034289,35.461711664534995,123.11869413503585,1.0947100629995399,55.245478054456889,6995.5285648968629,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,580,6917.0069107029303,36.160753271275681,125.14339306709223,1.1142460987565408,55.921062024722644,7079.4253031400558,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,590,6997.4126427954998,36.859418271922166,127.15500195807712,1.133789327917561,56.553841543973569,7162.5608523534192,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,600,7077.4198908724575,37.559418206279226,129.16764343510141,1.1533256830758427,57.193033144533594,7245.3002781969144,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,610,7157.127319362995,38.261251859552686,131.18240038007809,1.1728523027475068,57.938079346637089,7327.7438239053763,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,620,7236.3495357392685,38.963826846305913,133.19070136583389,1.1923605725326483,58.653012020914751,7409.6964245239415,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,630,7314.8333775541523,39.665709176271683,135.19347862546977,1.2118822316562694,59.336159828557328,7490.904447587548,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,640,7392.9782054268708,40.369022641413885,137.19587824412451,1.2314223080966138,60.026995969511134,7571.77452862051,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
