task,method,prefix,seed_count,metric,mean,standard_error,median,q10,q25,q75,q90,iqr
covtype_label_bandit,linucb_fixed_features,32,1,algorithm_seconds,0.933628985832911,0.0,0.933628985832911,0.933628985832911,0.933628985832911,0.933628985832911,0.933628985832911,0.0
covtype_label_bandit,linucb_fixed_features,32,1,cg_iterations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,cg_matvecs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,cumulative_regret,20.800000000000008,0.0,20.800000000000008,20.800000000000008,20.800000000000008,20.800000000000008,20.800000000000008,0.0
covtype_label_bandit,linucb_fixed_features,32,1,data_loading_seconds,0.015451621962711215,0.0,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.0
covtype_label_bandit,linucb_fixed_features,32,1,diagnostic_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,end_to_end_round_seconds,0.9717912341584451,0.0,0.9717912341584451,0.9717912341584451,0.9717912341584451,0.9717912341584451,0.9717912341584451,0.0
covtype_label_bandit,linucb_fixed_features,32,1,fraction_bonus_below_gap,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.0
covtype_label_bandit,linucb_fixed_features,32,1,fraction_bonus_exceeds_range,0.875,0.0,0.875,0.875,0.875,0.875,0.875,0.0
covtype_label_bandit,linucb_fixed_features,32,1,logical_operator_bytes,276768.0,0.0,276768.0,276768.0,276768.0,276768.0,276768.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,operator_construction_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,peak_rss_bytes,432160768.0,0.0,432160768.0,432160768.0,432160768.0,432160768.0,432160768.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,preprocessing_seconds,0.03642051498172805,0.0,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.0
covtype_label_bandit,linucb_fixed_features,32,1,representation_update_seconds,0.01453820097958669,0.0,0.01453820097958669,0.01453820097958669,0.01453820097958669,0.01453820097958669,0.01453820097958669,0.0
covtype_label_bandit,linucb_fixed_features,32,1,solver_alpha,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,solver_seconds,0.9158246172009967,0.0,0.9158246172009967,0.9158246172009967,0.9158246172009967,0.9158246172009967,0.9158246172009967,0.0
covtype_label_bandit,linucb_fixed_features,32,1,teacher_environment_seconds,0.008029669988900423,0.0,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.0
covtype_label_bandit,linucb_fixed_features,32,1,transport_certificate_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,linucb_fixed_features,32,1,width_upper_over_exact,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,D_Q_minus_d_Th,0.004763656150409572,0.0,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,D_Q_over_d_Th,16776.77617880058,0.0,16776.77617880058,16776.77617880058,16776.77617880058,16776.77617880058,16776.77617880058,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,action_accuracy,0.09375,0.0,0.09375,0.09375,0.09375,0.09375,0.09375,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,action_scoring_seconds,0.003794176795054227,0.0,0.003794176795054227,0.003794176795054227,0.003794176795054227,0.003794176795054227,0.003794176795054227,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,algorithm_seconds,1.7555995238944888,0.0,1.7555995238944888,1.7555995238944888,1.7555995238944888,1.7555995238944888,1.7555995238944888,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,cg_iterations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,cg_matvecs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,naive_current_corrected_cholesky,32,1,cumulative_regret,23.20000000000001,0.0,23.20000000000001,23.20000000000001,23.20000000000001,23.20000000000001,23.20000000000001,0.0
